sep=|
0,000345|0,000000
0,000345|0,000018
0,000342|0,000036
0,000341|0,000054
0,000338|0,000072
0,000333|0,000090
0,000327|0,000108
0,000322|0,000125
0,000314|0,000144
0,000304|0,000161
0,000295|0,000180
0,000283|0,000197
0,000269|0,000216
0,000254|0,000234
0,000237|0,000251
0,000218|0,000266
0,000201|0,000280
0,000182|0,000292
0,000165|0,000303
0,000146|0,000311
0,000128|0,000319
0,000111|0,000326
0,000093|0,000331
0,000075|0,000337
0,000057|0,000339
0,000038|0,000342
0,000020|0,000345
0,000003|0,000345
-0,000014|0,000345
-0,000033|0,000344
-0,000050|0,000342
-0,000069|0,000338
-0,000087|0,000334
-0,000104|0,000329
-0,000123|0,000322
-0,000140|0,000315
-0,000159|0,000307
-0,000176|0,000296
-0,000195|0,000284
-0,000213|0,000272
-0,000230|0,000257
-0,000249|0,000239
-0,000264|0,000222
-0,000277|0,000203
-0,000291|0,000186
-0,000300|0,000167
-0,000311|0,000150
-0,000319|0,000132
-0,000326|0,000114
-0,000331|0,000096
-0,000335|0,000077
-0,000339|0,000059
-0,000342|0,000041
-0,000344|0,000024
-0,000345|0,000006
-0,000345|-0,000012
-0,000344|-0,000029
-0,000342|-0,000048
-0,000338|-0,000066
-0,000334|-0,000083
-0,000330|-0,000101
-0,000323|-0,000119
-0,000316|-0,000138
-0,000307|-0,000155
-0,000299|-0,000174
-0,000287|-0,000192
-0,000273|-0,000209
-0,000260|-0,000228
-0,000243|-0,000246
-0,000224|-0,000261
-0,000207|-0,000276
-0,000188|-0,000288
-0,000171|-0,000300
-0,000153|-0,000308
-0,000134|-0,000318
-0,000117|-0,000325
-0,000098|-0,000330
-0,000080|-0,000335
-0,000062|-0,000338
-0,000045|-0,000342
-0,000027|-0,000344
-0,000009|-0,000345
0,000009|-0,000345
0,000027|-0,000344
0,000045|-0,000342
0,000062|-0,000339
0,000080|-0,000335
0,000098|-0,000330
0,000117|-0,000325
0,000134|-0,000318
0,000153|-0,000310
0,000171|-0,000300
0,000188|-0,000288
0,000207|-0,000277
0,000224|-0,000261
0,000243|-0,000246
0,000258|-0,000228
0,000273|-0,000209
0,000287|-0,000192
0,000297|-0,000174
0,000307|-0,000155
0,000315|-0,000138
0,000323|-0,000119
0,000330|-0,000101
0,000334|-0,000083
0,000338|-0,000066
0,000342|-0,000048
0,000344|-0,000029
