sep=-
132-1-2-5-132-1-2-d-0,000-0,000-0,000-0,000-0,000-0,000-0,000-0,000-0,000-0,000
260-3-4-11-260-3-4-d-0,000-0,000-0,000-0,000-0,000-0,000-0,000-0,000-0,000-0,000
516-7-8-23-516-7-8-d-0,000-0,000-0,000-0,000-0,000-0,000-0,000-0,000-0,000-0,000
1028-15-16-47-1028-15-16-d-0,000-0,000-0,000-0,000-0,000-0,000-0,000-0,000-0,000-0,000
2052-31-32-95-2052-31-32-d-0,000-0,000-0,000-0,000-0,000-0,000-0,000-0,000-0,000-0,000
4100-63-64-191-4100-63-64-d-0,000-0,000-0,000-0,000-0,000-0,000-0,000-0,000-0,000-0,000
8196-127-128-383-4136-64-64-d-0,000-0,000-0,000-0,000-0,000-0,000-0,000-0,000-0,015-0,000
16388-255-256-767-8504-169-85-d-0,016-0,000-0,000-0,000-0,000-0,000-0,016-0,000-0,000-0,000
32772-511-512-1535-11208-234-98-d-0,016-0,000-0,018-0,001-0,000-0,016-0,000-0,015-0,000-0,016
65540-1023-1024-3071-15896-358-106-d-0,015-0,000-0,006-0,000-0,016-0,016-0,000-0,015-0,016-0,000
131076-2047-2048-6143-19788-463-110-d-0,016-0,016-0,015-0,016-0,000-0,005-0,015-0,000-0,000-0,000
262148-4095-4096-12287-23848-575-111-d-0,031-0,031-0,022-0,016-0,016-0,023-0,031-0,031-0,035-0,016
524292-8191-8192-24575-27656-680-112-d-0,047-0,038-0,046-0,038-0,047-0,032-0,052-0,032-0,038-0,047
1048580-16383-16384-49151-31328-782-112-d-0,084-0,085-0,069-0,085-0,085-0,069-0,084-0,085-0,069-0,069
2097156-32767-32768-98303-35936-910-112-d-0,147-0,167-0,158-0,160-0,158-0,160-0,158-0,150-0,169-0,162
4194308-65535-65536-196607-39716-1015-112-d-0,345-0,347-0,354-0,345-0,342-0,339-0,338-0,344-0,345-0,343
8388612-131071-131072-393215-43604-1123-112-d-0,893-0,891-0,887-0,893-0,893-0,886-0,885-0,906-0,906-0,885
16777220-262143-262144-786431-47816-1240-112-d-3,158-3,182-3,204-3,202-3,174-3,190-3,510-3,386-3,253-3,181
33554436-524287-524288-1572863-
