sep=|
|mem|iM|iF|iL|mem|iM|iF|iL|1|2|3|4|5|6|7|8|9|10|implicita|quantidade
1|260|3|4|11|168|2|2|7|=1,114000E-006|=1,115000E-006|=1,127000E-006|=1,125000E-006|=1,116000E-006|=1,124000E-006|=1,117000E-006|=1,132000E-006|=1,125000E-006|=1,126000E-006|1,000000e-009|1000000
2|1028|15|16|47|584|12|4|29|=6,093000E-006|=6,098000E-006|=6,088000E-006|=6,130000E-006|=6,080000E-006|=6,083000E-006|=6,044000E-006|=6,024000E-006|=6,051000E-006|=6,073000E-006|1,000000e-009|1000000
3|4100|63|64|191|2136|52|8|113|=3,495000E-005|=3,503000E-005|=3,512000E-005|=3,451000E-005|=3,509000E-005|=3,464000E-005|=3,457000E-005|=3,464000E-005|=3,519000E-005|=3,496000E-005|1,000000e-008|100000
4|16388|255|256|767|8120|212|16|441|=2,219000E-004|=2,223000E-004|=2,221000E-004|=2,220000E-004|=2,210000E-004|=2,199000E-004|=2,202000E-004|=2,186000E-004|=2,224000E-004|=2,249000E-004|1,000000e-007|10000
5|65540|1023|1024|3071|31608|852|32|1737|=1,443000E-003|=1,468000E-003|=1,468000E-003|=1,467000E-003|=1,468000E-003|=1,442000E-003|=1,466000E-003|=1,468000E-003|=1,470000E-003|=1,467000E-003|1,000000e-006|1000
6|262148|4095|4096|12287|124664|3412|64|6889|=1,100000E-002|=1,102000E-002|=1,100000E-002|=1,099000E-002|=1,100000E-002|=1,105000E-002|=1,099000E-002|=1,101000E-002|=1,101000E-002|=1,103000E-002|1,000000e-005|100
7|1048580|16383|16384|49151|438476|12129|64|24323|=4,956000E-002|=4,945000E-002|=4,938000E-002|=4,940000E-002|=4,847000E-002|=4,872000E-002|=4,943000E-002|=4,844000E-002|=4,844000E-002|=4,905000E-002|1,000000e-005|100
8|4194308|65535|65536|196607|1431584|39699|85|79484|=2,805000E-001|=2,802000E-001|=2,814000E-001|=2,814000E-001|=2,811000E-001|=2,807000E-001|=2,811000E-001|=2,793000E-001|=2,813000E-001|=2,761000E-001|1,000000e-004|10
9|16777220|262143|262144|786431|5009448|139074|98|278247|=2,259000E+000|=2,220000E+000|=2,263000E+000|=2,261000E+000|=2,236000E+000|=2,243000E+000|=2,272000E+000|=2,211000E+000|=2,244000E+000|=2,244000E+000|1,000000e-003|10
10|67108868|1048575|1048576|3145727|18745796|520633|106|1041373|=1,372300E+001|=1,370900E+001|=1,349900E+001|=1,352100E+001|=1,361700E+001|=1,374100E+001|=1,351900E+001|=1,363300E+001|=1,361200E+001|=1,366500E+001|1,000000e-003|10
11|268435460|4194303|4194304|12582911|69275472|1924232|110|3848575|=1,462440E+002|=1,453130E+002|=1,452130E+002|=1,446310E+002|=1,450670E+002|=1,447730E+002|=1,447530E+002|=1,451110E+002|=1,446370E+002|=1,436490E+002|1,000000e-003|10
