sep=|
|mem|iM|iF|iL|mem|iM|iF|iL|1|2|3|4|5|6|7|8|9|10|implicita|quantidade
1|132|1|2|5|132|1|2|5|=2,690000E-007|=2,780000E-007|=2,700000E-007|=2,690000E-007|=2,710000E-007|=2,720000E-007|=2,700000E-007|=2,690000E-007|=2,750000E-007|=2,720000E-007|1,000000e-009|1000000
2|260|3|4|11|260|3|4|11|=7,510000E-007|=7,510000E-007|=7,520000E-007|=7,670000E-007|=7,530000E-007|=7,510000E-007|=7,570000E-007|=7,500000E-007|=7,520000E-007|=7,500000E-007|1,000000e-009|1000000
3|516|7|8|23|516|7|8|23|=2,484000E-006|=2,531000E-006|=2,491000E-006|=2,497000E-006|=2,485000E-006|=2,494000E-006|=2,515000E-006|=2,489000E-006|=2,500000E-006|=2,559000E-006|1,000000e-009|1000000
4|1028|15|16|47|1028|15|16|47|=9,621000E-006|=9,509000E-006|=9,431000E-006|=9,526000E-006|=9,552000E-006|=9,525000E-006|=9,518000E-006|=9,363000E-006|=9,522000E-006|=9,608000E-006|1,000000e-009|1000000
5|2052|31|32|95|2052|31|32|95|=3,480000E-005|=3,485000E-005|=3,484000E-005|=3,530000E-005|=3,531000E-005|=3,483000E-005|=3,531000E-005|=3,531000E-005|=3,471000E-005|=3,529000E-005|1,000000e-008|100000
6|4100|63|64|191|4100|63|64|191|=1,429000E-004|=1,431000E-004|=1,409000E-004|=1,429000E-004|=1,429000E-004|=1,429000E-004|=1,429000E-004|=1,401000E-004|=1,404000E-004|=1,433000E-004|1,000000e-007|10000
7|8196|127|128|383|4136|64|64|193|=3,059000E-004|=3,058000E-004|=3,057000E-004|=3,054000E-004|=3,029000E-004|=3,015000E-004|=3,061000E-004|=3,055000E-004|=3,058000E-004|=3,055000E-004|1,000000e-007|10000
8|16388|255|256|767|8504|169|85|424|=7,950000E-004|=8,091000E-004|=8,099000E-004|=8,095000E-004|=8,095000E-004|=8,090000E-004|=7,947000E-004|=8,095000E-004|=8,090000E-004|=8,095000E-004|1,000000e-007|10000
9|32772|511|512|1535|11208|234|98|567|=1,840000E-003|=1,901000E-003|=1,837000E-003|=1,839000E-003|=1,818000E-003|=1,807000E-003|=1,839000E-003|=1,838000E-003|=1,838000E-003|=1,842000E-003|1,000000e-006|1000
10|65540|1023|1024|3071|15896|358|106|823|=4,047000E-003|=4,119000E-003|=4,120000E-003|=4,123000E-003|=4,136000E-003|=4,121000E-003|=4,119000E-003|=4,117000E-003|=4,122000E-003|=4,050000E-003|1,000000e-006|1000
11|131076|2047|2048|6143|19788|463|110|1037|=8,362000E-003|=8,348000E-003|=8,193000E-003|=8,344000E-003|=8,349000E-003|=8,349000E-003|=8,352000E-003|=8,195000E-003|=8,371000E-003|=8,371000E-003|1,000000e-006|1000
12|262148|4095|4096|12287|23848|575|111|1262|=1,764000E-002|=1,762000E-002|=1,764000E-002|=1,761000E-002|=1,762000E-002|=1,762000E-002|=1,762000E-002|=1,762000E-002|=1,773000E-002|=1,763000E-002|1,000000e-005|100
13|524292|8191|8192|24575|27656|680|112|1473|=3,464000E-002|=3,403000E-002|=3,456000E-002|=3,460000E-002|=3,460000E-002|=3,464000E-002|=3,460000E-002|=3,402000E-002|=3,458000E-002|=3,460000E-002|1,000000e-005|100
14|1048580|16383|16384|49151|31328|782|112|1677|=7,258000E-002|=7,264000E-002|=7,225000E-002|=7,259000E-002|=7,259000E-002|=7,258000E-002|=7,259000E-002|=7,261000E-002|=7,285000E-002|=7,264000E-002|1,000000e-005|100
15|2097156|32767|32768|98303|35936|910|112|1933|=1,423000E-001|=1,423000E-001|=1,422000E-001|=1,421000E-001|=1,421000E-001|=1,396000E-001|=1,404000E-001|=1,394000E-001|=1,420000E-001|=1,398000E-001|1,000000e-004|10
16|4194308|65535|65536|196607|39752|1016|112|2145|=3,014000E-001|=3,015000E-001|=3,014000E-001|=3,016000E-001|=3,015000E-001|=3,018000E-001|=3,015000E-001|=3,018000E-001|=2,965000E-001|=3,014000E-001|1,000000e-004|10
17|8388612|131071|131072|393215|43640|1124|112|2361|=6,113000E-001|=6,118000E-001|=5,999000E-001|=6,007000E-001|=6,110000E-001|=6,117000E-001|=6,115000E-001|=6,117000E-001|=6,116000E-001|=6,135000E-001|1,000000e-004|10
18|16777220|262143|262144|786431|47852|1241|112|2595|=1,396000E+000|=1,396000E+000|=1,378000E+000|=1,397000E+000|=1,397000E+000|=1,402000E+000|=1,398000E+000|=1,395000E+000|=1,396000E+000|=1,391000E+000|1,000000e-003|10
19|33554436|524287|524288|1572863|51712|1349|111|2810|=3,375000E+000|=3,381000E+000|=3,360000E+000|=3,363000E+000|=3,372000E+000|=3,356000E+000|=3,373000E+000|=3,389000E+000|=3,369000E+000|=3,371000E+000|1,000000e-003|10
20|67108868|1048575|1048576|3145727|56060|1469|112|3051|=1,056400E+001|=1,053500E+001|=1,041900E+001|=1,046900E+001|=1,048600E+001|=1,050400E+001|=1,015300E+001|=1,055000E+001|=1,030500E+001|=1,051600E+001|1,000000e-003|10
21|134217732|2097151|2097152|6291455|60388|1590|111|3292|=3,429200E+001|=3,490600E+001|=3,448200E+001|=3,317200E+001|=3,483800E+001|=3,464300E+001|=3,560900E+001|=3,475800E+001|=3,480500E+001|=3,457400E+001|1,000000e-003|10
22|268435460|4194303|4194304|12582911|63240|1670|110|3451|=1,278410E+002|=1,253160E+002|=1,269190E+002|=1,283940E+002|=1,236160E+002|=1,266980E+002|=1,288300E+002|=1,209410E+002|=1,256050E+002|=1,240710E+002|1,000000e-003|10
