sep=|
|mem|iM|iF|iL|mem|iM|iF|iL|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|implicita|quantidade
1|260|3|4|11|168|2|2|7|=8,720000E-007|=8,680000E-007|=8,640000E-007|=8,650000E-007|=8,670000E-007|=8,650000E-007|=8,650000E-007|=8,650000E-007|=8,860000E-007|=8,660000E-007|=8,690000E-007|=8,770000E-007|=8,730000E-007|=8,690000E-007|=8,840000E-007|1,000000e-009|1000000
2|1028|15|16|47|584|12|4|29|=5,025000E-006|=5,025000E-006|=5,023000E-006|=5,026000E-006|=5,013000E-006|=5,016000E-006|=5,014000E-006|=5,019000E-006|=5,080000E-006|=5,123000E-006|=5,022000E-006|=5,015000E-006|=5,021000E-006|=5,016000E-006|=5,020000E-006|1,000000e-009|1000000
3|4100|63|64|191|2136|52|8|113|=3,049000E-005|=3,046000E-005|=3,039000E-005|=3,045000E-005|=3,035000E-005|=3,052000E-005|=3,052000E-005|=3,040000E-005|=3,060000E-005|=3,043000E-005|=3,038000E-005|=3,031000E-005|=3,041000E-005|=3,036000E-005|=3,042000E-005|1,000000e-008|100000
4|16388|255|256|767|8120|212|16|441|=2,116000E-004|=2,120000E-004|=2,111000E-004|=2,115000E-004|=2,132000E-004|=2,113000E-004|=2,115000E-004|=2,140000E-004|=2,112000E-004|=2,112000E-004|=2,119000E-004|=2,111000E-004|=2,114000E-004|=2,110000E-004|=2,112000E-004|1,000000e-007|10000
5|65540|1023|1024|3071|31608|852|32|1737|=1,437000E-003|=1,441000E-003|=1,441000E-003|=1,438000E-003|=1,439000E-003|=1,434000E-003|=1,436000E-003|=1,443000E-003|=1,443000E-003|=1,442000E-003|=1,442000E-003|=1,440000E-003|=1,442000E-003|=1,438000E-003|=1,441000E-003|1,000000e-006|1000
6|262148|4095|4096|12287|124664|3412|64|6889|=1,148000E-002|=1,149000E-002|=1,150000E-002|=1,151000E-002|=1,156000E-002|=1,151000E-002|=1,151000E-002|=1,151000E-002|=1,148000E-002|=1,152000E-002|=1,154000E-002|=1,146000E-002|=1,148000E-002|=1,152000E-002|=1,150000E-002|1,000000e-005|100
7|1048580|16383|16384|49151|438476|12129|64|24323|=7,073000E-002|=7,101000E-002|=7,076000E-002|=7,094000E-002|=7,094000E-002|=7,095000E-002|=7,072000E-002|=7,100000E-002|=7,084000E-002|=7,072000E-002|=7,091000E-002|=7,086000E-002|=7,073000E-002|=7,089000E-002|=7,131000E-002|1,000000e-005|100
8|4194308|65535|65536|196607|1431584|39699|85|79484|=1,271000E+000|=1,293000E+000|=1,290000E+000|=1,283000E+000|=1,285000E+000|=1,290000E+000|=1,321000E+000|=1,288000E+000|=1,283000E+000|=1,267000E+000|=1,304000E+000|=1,304000E+000|=1,295000E+000|=1,288000E+000|=1,270000E+000|1,000000e-003|1
9|16777220|262143|262144|786431|5009448|139074|98|278247|=1,085300E+001|=1,072400E+001|=1,071700E+001|=1,078100E+001|=1,080000E+001|=1,076600E+001|=1,086900E+001|=1,079200E+001|=1,084000E+001|=1,082300E+001|=1,082900E+001|=1,075200E+001|=1,080600E+001|=1,093000E+001|=1,079400E+001|1,000000e-003|1
10|67108868|1048575|1048576|3145727|18745796|520633|106|1041373|=6,190200E+001|=6,210900E+001|=6,235100E+001|=6,193200E+001|=6,190400E+001|=6,172300E+001|=6,203500E+001|=6,187500E+001|=6,159500E+001|=6,188100E+001|=6,192100E+001|=6,188000E+001|=6,202300E+001|=6,200600E+001|=6,191300E+001|1,000000e-003|1
11|268435460|4194303|4194304|12582911|69275472|1924232|110|3848575|=8,882460E+002|=8,796560E+002|=8,710350E+002|=8,916030E+002|=8,820730E+002|=8,738690E+002|=8,945310E+002|=8,940830E+002|=8,720200E+002|=8,886110E+002|=8,764120E+002|=8,856490E+002|=8,873450E+002|=8,725630E+002|=8,888680E+002|1,000000e-003|1
