sep=|
|mem|iM|iF|iL|mem|iM|iF|iL|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|implicita|quantidade
1|132|1|2|5|132|1|2|5|=1,510000E-007|=1,500000E-007|=1,490000E-007|=1,500000E-007|=1,490000E-007|=1,490000E-007|=1,500000E-007|=1,480000E-007|=1,470000E-007|=1,470000E-007|=1,510000E-007|=1,490000E-007|=1,480000E-007|=1,470000E-007|=1,480000E-007|1,000000e-009|1000000
2|260|3|4|11|260|3|4|11|=5,350000E-007|=5,220000E-007|=5,210000E-007|=5,240000E-007|=5,440000E-007|=5,230000E-007|=5,210000E-007|=5,230000E-007|=5,210000E-007|=5,260000E-007|=5,260000E-007|=5,210000E-007|=5,220000E-007|=5,300000E-007|=5,230000E-007|1,000000e-009|1000000
3|516|7|8|23|516|7|8|23|=2,024000E-006|=2,026000E-006|=2,029000E-006|=2,029000E-006|=2,020000E-006|=2,021000E-006|=2,016000E-006|=2,019000E-006|=2,026000E-006|=2,023000E-006|=2,015000E-006|=2,034000E-006|=2,019000E-006|=2,018000E-006|=2,021000E-006|1,000000e-009|1000000
4|1028|15|16|47|1028|15|16|47|=8,597000E-006|=8,607000E-006|=8,628000E-006|=8,632000E-006|=8,616000E-006|=8,629000E-006|=8,629000E-006|=8,620000E-006|=8,613000E-006|=8,621000E-006|=8,608000E-006|=8,595000E-006|=8,590000E-006|=8,613000E-006|=8,604000E-006|1,000000e-009|1000000
5|2052|31|32|95|2052|31|32|95|=3,358000E-005|=3,350000E-005|=3,346000E-005|=3,344000E-005|=3,332000E-005|=3,329000E-005|=3,331000E-005|=3,342000E-005|=3,351000E-005|=3,353000E-005|=3,339000E-005|=3,344000E-005|=3,348000E-005|=3,347000E-005|=3,343000E-005|1,000000e-008|100000
6|4100|63|64|191|4100|63|64|191|=1,402000E-004|=1,404000E-004|=1,394000E-004|=1,386000E-004|=1,396000E-004|=1,392000E-004|=1,395000E-004|=1,396000E-004|=1,393000E-004|=1,399000E-004|=1,398000E-004|=1,390000E-004|=1,384000E-004|=1,388000E-004|=1,399000E-004|1,000000e-007|10000
7|8196|127|128|383|4136|64|64|193|=2,958000E-004|=2,969000E-004|=2,964000E-004|=2,970000E-004|=2,969000E-004|=2,989000E-004|=2,996000E-004|=2,978000E-004|=2,970000E-004|=2,964000E-004|=2,966000E-004|=2,966000E-004|=2,971000E-004|=2,975000E-004|=2,966000E-004|1,000000e-007|10000
8|16388|255|256|767|8504|169|85|424|=7,946000E-004|=7,958000E-004|=7,948000E-004|=7,943000E-004|=7,949000E-004|=7,948000E-004|=7,952000E-004|=7,945000E-004|=7,946000E-004|=7,941000E-004|=7,951000E-004|=7,922000E-004|=7,916000E-004|=7,927000E-004|=7,928000E-004|1,000000e-007|10000
9|32772|511|512|1535|11208|234|98|567|=1,792000E-003|=1,788000E-003|=1,790000E-003|=1,796000E-003|=1,794000E-003|=1,792000E-003|=1,790000E-003|=1,794000E-003|=1,796000E-003|=1,791000E-003|=1,792000E-003|=1,791000E-003|=1,794000E-003|=1,792000E-003|=1,788000E-003|1,000000e-006|1000
10|65540|1023|1024|3071|15896|358|106|823|=4,003000E-003|=4,009000E-003|=3,999000E-003|=3,992000E-003|=4,011000E-003|=4,077000E-003|=3,986000E-003|=3,989000E-003|=3,978000E-003|=4,009000E-003|=3,999000E-003|=4,003000E-003|=3,986000E-003|=4,004000E-003|=4,007000E-003|1,000000e-006|1000
11|131076|2047|2048|6143|19788|463|110|1037|=8,072000E-003|=8,073000E-003|=8,068000E-003|=8,064000E-003|=8,069000E-003|=8,068000E-003|=8,060000E-003|=8,080000E-003|=8,078000E-003|=8,068000E-003|=8,074000E-003|=8,060000E-003|=8,075000E-003|=8,088000E-003|=8,078000E-003|1,000000e-006|1000
12|262148|4095|4096|12287|23848|575|111|1262|=1,698000E-002|=1,704000E-002|=1,699000E-002|=1,699000E-002|=1,703000E-002|=1,697000E-002|=1,689000E-002|=1,699000E-002|=1,690000E-002|=1,701000E-002|=1,697000E-002|=1,692000E-002|=1,700000E-002|=1,701000E-002|=1,691000E-002|1,000000e-005|100
13|524292|8191|8192|24575|27656|680|112|1473|=3,348000E-002|=3,345000E-002|=3,319000E-002|=3,354000E-002|=3,352000E-002|=3,341000E-002|=3,340000E-002|=3,357000E-002|=3,337000E-002|=3,336000E-002|=3,335000E-002|=3,338000E-002|=3,381000E-002|=3,350000E-002|=3,340000E-002|1,000000e-005|100
14|1048580|16383|16384|49151|31328|782|112|1677|=7,032000E-002|=7,008000E-002|=6,993000E-002|=7,001000E-002|=7,003000E-002|=6,997000E-002|=7,018000E-002|=6,994000E-002|=7,020000E-002|=7,005000E-002|=7,003000E-002|=7,007000E-002|=6,992000E-002|=7,014000E-002|=6,978000E-002|1,000000e-005|100
15|2097156|32767|32768|98303|35936|910|112|1933|=1,381000E-001|=1,379000E-001|=1,376000E-001|=1,373000E-001|=1,376000E-001|=1,381000E-001|=1,379000E-001|=1,375000E-001|=1,382000E-001|=1,381000E-001|=1,384000E-001|=1,381000E-001|=1,381000E-001|=1,384000E-001|=1,380000E-001|1,000000e-004|10
16|4194308|65535|65536|196607|39752|1016|112|2145|=2,945000E-001|=2,945000E-001|=2,942000E-001|=2,940000E-001|=2,949000E-001|=2,948000E-001|=2,950000E-001|=2,947000E-001|=2,938000E-001|=2,950000E-001|=2,947000E-001|=2,941000E-001|=2,942000E-001|=2,949000E-001|=2,953000E-001|1,000000e-004|10
17|8388612|131071|131072|393215|43640|1124|112|2361|=6,082000E-001|=6,244000E-001|=6,077000E-001|=6,075000E-001|=6,080000E-001|=6,087000E-001|=6,081000E-001|=6,085000E-001|=6,135000E-001|=6,086000E-001|=6,088000E-001|=6,079000E-001|=6,074000E-001|=6,069000E-001|=6,058000E-001|1,000000e-004|10
18|16777220|262143|262144|786431|47852|1241|112|2595|=1,501000E+000|=1,494000E+000|=1,494000E+000|=1,499000E+000|=1,499000E+000|=1,507000E+000|=1,492000E+000|=1,498000E+000|=1,493000E+000|=1,504000E+000|=1,507000E+000|=1,495000E+000|=1,500000E+000|=1,501000E+000|=1,499000E+000|1,000000e-003|1
19|33554436|524287|524288|1572863|51712|1349|111|2810|=4,402000E+000|=4,424000E+000|=4,381000E+000|=4,361000E+000|=4,375000E+000|=4,392000E+000|=4,369000E+000|=4,416000E+000|=4,396000E+000|=4,437000E+000|=4,368000E+000|=4,392000E+000|=4,370000E+000|=4,383000E+000|=4,412000E+000|1,000000e-003|1
20|67108868|1048575|1048576|3145727|56060|1469|112|3051|=1,447400E+001|=1,443000E+001|=1,451800E+001|=1,458700E+001|=1,452500E+001|=1,450200E+001|=1,436900E+001|=1,461500E+001|=1,451600E+001|=1,455100E+001|=1,439600E+001|=1,446400E+001|=1,454400E+001|=1,437600E+001|=1,439900E+001|1,000000e-003|1
21|134217732|2097151|2097152|6291455|60388|1590|111|3292|=5,168900E+001|=5,181400E+001|=5,137400E+001|=5,125400E+001|=5,106200E+001|=5,133700E+001|=5,175900E+001|=5,194800E+001|=5,142800E+001|=5,133900E+001|=5,113500E+001|=5,124200E+001|=5,171400E+001|=5,158700E+001|=5,157000E+001|1,000000e-003|1
22|268435460|4194303|4194304|12582911|63240|1670|110|3451|=1,966430E+002|=1,961660E+002|=1,981160E+002|=1,990070E+002|=1,977630E+002|=1,975190E+002|=1,974490E+002|=1,967990E+002|=1,956640E+002|=1,985560E+002|=1,971580E+002|=1,975120E+002|=1,978560E+002|=1,988810E+002|=1,978720E+002|1,000000e-003|1
